IP,CCode,IsExit,IsGuard,Consensus(KB/s),Rate(KiB/s),Burst(KiB/s),MaxObserved(KiB/s),MaxRead(KiB/s),MaxWrite(KiB/s),LinkDown(KiB/s),LinkUp(KiB/s),Load(KiB/s)
62.102.148.67,SE,True,True,34,153600,204800,33386,0,0,33386,33386,0
89.221.209.100,CZ,True,True,13,10000,15000,8704,0,0,8704,8704,0
185.100.85.61,RO,True,True,4,2048,20480,4195,0,0,4195,4195,0
95.211.210.72,NL,False,True,54,1048576,1048576,24593,0,0,24593,24593,0
89.163.251.139,DE,False,True,31,1048576,1048576,17704,0,0,17704,17704,0
95.211.225.167,NL,False,True,24,1048576,1048576,11269,0,0,11269,11269,0
217.23.11.138,NL,False,True,18,10240,11264,11198,0,0,11198,11198,0
46.165.254.40,DE,False,True,15,15360,20480,9978,0,0,9978,9978,0
185.13.38.197,FR,False,True,13,5120,10240,6581,0,0,6581,6581,0
46.41.130.68,PL,False,True,11,5120,5222,6030,0,0,6030,6030,0
185.100.84.212,RO,False,True,9,6000,6400,6958,0,0,6958,6958,0
188.165.19.61,PL,False,True,8,1048576,1048576,12446,0,0,12446,12446,0
50.7.178.98,NL,False,True,6,1048576,1048576,8427,0,0,8427,8427,0
141.255.161.166,CH,False,True,5,1048576,1048576,8024,0,0,8024,8024,0
82.221.105.198,IS,False,True,4,3500,6000,4265,0,0,4265,4265,0
45.58.52.221,US,False,True,3,2560,2560,2832,0,0,2832,2832,0
138.197.194.230,US,False,True,2,1048576,1048576,3445,0,0,3445,3445,0
178.49.253.215,RU,False,True,2,1048576,1048576,3594,0,0,3594,3594,0
82.196.8.13,NL,True,False,2,1024,4096,2414,0,0,2414,2414,0
60.248.162.179,TW,True,False,0,1500,3000,1279,0,0,1279,1279,0
72.14.179.10,US,True,False,0,100,200,204,0,0,204,204,0
193.153.205.143,ES,False,False,10,1048576,1048576,7753,0,0,7753,7753,0
86.253.39.209,FR,False,False,2,2048,2048,2417,0,0,2417,2417,0
87.73.84.77,DK,False,False,1,1048576,1048576,6103,0,0,6103,6103,0
35.158.22.203,US,False,False,1,1048576,1048576,3182,0,0,3182,3182,0
162.243.65.28,US,False,False,1,1024,1024,1213,0,0,1213,1213,0
31.131.251.36,RU,False,False,1,1000,2000,1251,0,0,1251,1251,0
178.32.220.186,FR,False,False,1,1024,2048,1289,0,0,1289,1289,0
81.169.222.158,DE,False,False,0,1000,1000,1170,0,0,1170,1170,0
91.64.196.69,DE,False,False,0,1024,2048,1247,0,0,1247,1247,0
67.245.122.241,US,False,False,0,20000,21000,872,0,0,872,872,0
46.80.247.165,DE,False,False,0,512,1024,640,0,0,640,640,0
50.116.0.149,US,False,False,0,1000,15360,2563,0,0,2563,2563,0
178.209.52.145,CH,False,False,0,512,1024,647,0,0,647,647,0
85.25.159.253,DE,False,False,0,500,600,776,0,0,776,776,0
89.73.57.178,PL,False,False,0,500,700,597,0,0,597,597,0
96.88.70.45,US,False,False,0,500,1024,633,0,0,633,633,0
80.144.235.242,DE,False,False,0,300,500,397,0,0,397,397,0
109.164.236.231,CH,False,False,0,256,512,327,0,0,327,327,0
45.63.26.48,US,False,False,0,1048576,1048576,876,0,0,876,876,0
178.194.153.53,CH,False,False,0,192,384,247,0,0,247,247,0
188.174.72.67,DE,False,False,0,200,300,244,0,0,244,244,0
78.47.35.35,DE,False,False,0,100,500,155,0,0,155,155,0
213.73.99.182,DE,False,False,0,1048576,1048576,359,0,0,359,359,0
201.52.46.73,BR,False,False,0,4096,6144,91,0,0,91,91,0
216.195.168.78,US,False,False,0,108,180,118,0,0,118,118,0
188.222.106.239,GB,False,False,0,80,100,90,0,0,90,90,0
125.212.220.60,VN,False,False,0,1048576,1048576,489,0,0,489,489,0
213.162.144.103,DE,False,False,0,100,200,95,0,0,95,95,0
